"","site","coral_area.cm2","coral_height.cm","Df_tot","Da_tot","Cv_tot"
"1","MRB Tour",593.761011528471,31,10,0,0
"2","3-Jul-05",673.871624195011,22,9,0,0
"3","",3023.78292908018,50,68,0,0
"4","",2497.56615960389,37,10,0,100
"5","",2350.69670304856,44,60,0,0
"6","",1661.902513749,34,56,0,0
"7","",1130.97335529233,38,37,0,0
"8","MRB EDGE",918.915851175014,30,36,0,0
"9","3-Jul-05",1814.26975744811,38,24,3,0
"10","MRB OUT",706.858347057703,27,26,0,0
"11","3-Jul-05",1809.55736846772,37,5,1,20
"12","",961.327351998477,19,0,1,20
"13","",408.407044966673,20,0,1,0
"14","",681.725605828985,26,22,0,0
"15","",2162.98654199657,42,30,6,0
"16","",1244.07069082156,36,21,0,0
"17","",1022.58840874348,26,21,5,0
"18","",424.115008234622,18,14,0,0
"19","",1731.01755212798,37,21,5,0
"20","",2327.92015631004,36,19,0,8
"21","",1187.52202305694,27,16,3,0
"22","",1857.46665643497,39,17,0,25
"23","",614.966761940202,22,14,1,0
"24","",1963.49540849362,37,32,4,0
"25","",376.991118430775,18,5,6,0
"26","",747.699051554371,17,5,0,0
"27","",3573.56164345839,29,36,0,20
"28","",328.296432300133,18,0,4,0
"29","",589.048622548086,22,5,3,0
"30","",1357.16802635079,26,30,0,0
"31","",1734.15914478157,32,34,0,500
"32","",1308.47334022015,26,11,1,0
"33","",1950.92903787926,26,20,1,6
"34","",1808.77197030432,32,29,0,50
"35","",1492.25651045515,26,17,0,30
"36","",1319.46891450771,28,11,0,500
"37","",1492.25651045515,30,40,3,0
"38","",2368.7608608067,37,55,0,500
"39","",1727.87595947439,26,12,0,2
"40","",1845.685683984,32,28,0,150
"41","",2473.21881653856,37,6,0,500
"42","",1924.22550032375,35,28,0,500
"43","",1731.80295029137,35,16,2,4
"44","",1074.42468752771,24,5,0,4
"45","",1062.64371507675,23,34,0,250
"46","",1590.43128087983,36,28,NA,0
"47","",984.8892969004,14,4,4,0
"48","",607.898178469625,28,11,1,0
"49","6-Jul-05",1545.66358556618,31,20,0,0
"50","",1507.9644737231,28,30,0,50
"51","",603.18578948924,10,2,0,0
"52","",1104.26981773681,34,48,3,0
"53","",1278.62821001105,31,32,0,500
"54","",1835.47550785984,41,29,0,30
"55","",1696.46003293849,30,10,0,500
"56","TRAN'S",2144.13698607503,19,0,0,0
"57","5-Jul-05",697.433569096934,20,0,0,0
"58","",226.194671058465,16,3,0,0
"59","",827.024266057513,12,9,0,10
"60","",842.732229325462,20,0,0,0
"61","",587.477826221291,10,0,0,0
"62","",1127.04636447534,29,12,0,0
"63","",692.721180116549,10,3,0,0
"64","",754.767635024948,25,0,0,0
"65","",1413.71669411541,30,13,0,0
"66","",1075.21008569111,25,1,0,0
"67","",667.588438887831,21,0,0,0
"68","",961.327351998477,21,0,0,0
"69","",747.699051554371,24,1,0,0
"70","",1014.7344271095,27,9,0,0
"71","",1570.7963267949,17,14,0,0
"72","TRAN'S",417.831822927442,11,0,0,0
"73","CREST",958.971157508284,18,0,0,0
"74","5-Jul-05",1105.84061406361,25,0,0,1
"75","",687.223392972767,20,0,0,0
"76","",1314.75652552733,17,25,10,0
"77","",549.778714378214,18,0,0,0
"78","",979.391509756618,20,3,0,0
"79","",3675.66340470006,35,10,0,250
"80","",1899.09275909503,14,26,1,0
"81","",1374.44678594553,24,14,0,0
"82","",879.645943005142,17,0,0,0
"83","",804.247719318987,21,0,0,0
"84","",636.172512351933,21,2,0,0
"85","",675.442420521806,14,8,0,0
"86","",490.873852123405,22,6,0,0
"87","",570.199066626548,25,5,0,0
"88","MAHAREPA",2309.0706003885,25,24,0,25
"89","FLOW PRED",1140.39813325309,27,12,1,0
"90","5-Jul-05",1452.20120412188,26,0,0,0
"91","MRB",578.053048260522,11,8,0,0
"92","",204.203522483337,13,0,0,0
"93","FLOW PRED",747.699051554371,22,11,0,0
"94","6-Jul-05",1449.05961146829,30,13,2,0
"95","",1220.50874591963,28,15,0,0
"96","",1756.15029335669,33,6,0,0
"97","",751.626042371358,20,15,0,0
"98","",1531.52641862502,28,33,0,0
"99","",1520.53084433746,30,23,0,0
"100","OPUNOHU 0",791.681348704628,23,44,4,20
"101","NORTHSHORE",373.849525777185,20,21,0,0
"102","6-Jul-05",1253.49546878233,28,13,2,0
"103","",959.756555671682,22,8,0,0
"104","",1223.65033857322,30,31,5,0
"105","",1449.05961146829,34,28,1,200
"106","OPUNOHU 0",1256.63706143592,29,43,2,0
"107","FLOW PRED",1163.96007815502,27,23,3,100
"108","6-Jul-05",871.791961371168,25,9,2,0
"109","",726.49330114264,21,25,1,0
"110","",1413.71669411541,26,19,2,0
"111","",298.45130209103,13,10,1,0
"112","OPUNOHU .75",2081.30513300324,31,39,12,0
"113","Northshore",1005.30964914873,22,21,0,0
"114","6-Jul-05",1452.20120412188,27,34,0,0
"115","",1960.35381584003,33,34,2,0
"116","",1943.86045440868,31,48,0,0
"117","",1979.20337176157,28,6,0,1
"118","",572.55526111674,15,4,17,0
"119","RED MARKER",2238.38476568273,38,27,0,0
"120","6-Jul-05",3624.61252407922,42,42,0,20
"121","",1470.26536188002,36,3,0,0
"122","",2968.80505764235,33,62,0,0
"123","OPUNOHU .75",1286.48219164502,30,40,0,0
"124","Flowpred",1220.50874591963,32,54,0,0
"125","6-Jul-05",1193.80520836412,30,38,0,0
"126","",1075.21008569111,26,26,0,0
"127","",1220.50874591963,30,56,0,0
"128","",490.088453960008,11,0,0,0
"129","BEACONS",490.088453960008,13,0,0,0
"130","BOMMIE FIELD",173.572994110836,13,0,0,0
"131","NEAR 7",311.017672705389,9,0,0,0
"132","7-Jul-05",725.707902979242,26,7,0,0
"133","",501.084028247572,12,0,0,0
"134","",447.676953136545,10,12,0,0
"135","",505.796417227957,12,0,0,0
"136","",1319.46891450771,23,0,0,0
"137","",353.429173528852,12,2,0,0
"138","",1313.18572920053,16,30,0,0
"139","",1269.98883021367,12,4,0,0
"140","",640.884901332318,15,23,0,0
"141","",1225.22113490002,12,8,0,0
"142","",311.017672705389,10,0,0,0
"143","",751.626042371358,15,4,0,0
"144","",432.754388031994,10,0,0,0
"145","",777.544181763474,20,16,0,0
"146","",2239.95556200952,28,10,0,50
"147","",1068.14150222053,20,0,0,0
"148","",445.320758646353,14,0,0,0
"149","",1853.53966561798,27,26,0,0
"150","",1036.72557568463,19,6,0,0
"151","",923.628240155399,18,7,0,0
"152","",1520.53084433746,30,10,0,20
"153","",530.929158456675,16,0,0,0
"154","",1088.56185446886,28,5,0,0
"155","",777.544181763474,16,0,0,0
"156","",681.725605828985,22,20,2,0
"157","",5010.84028247572,12,15,0,0
"158","",452.38934211693,12,0,0,0
"159","",1148.25211488707,20,4,0,0
"160","",445.320758646353,13,19,1,0
"161","",1441.99102799772,34,50,0,0
"162","",1194.59060652752,22,20,0,0
"163","Beacon#1",1193.80520836412,32,10,0,10
"164","Beacon #1",1507.9644737231,25,6,0,20
"165","Near Beacon #1",328.296432300133,11,0,0,0
"166","BEACONS",933.053018116169,25,5,0,0
"167","7-Jul-05",379.347312920968,13,0,0,0
"168","",449.24774946334,14,0,0,0
"169","Beacon #2",1317.11272001752,23,25,0,0
"170","Beacon #2",1159.24768917463,27,6,4,0
"171","Near Beacon #2",571.769862953342,14,2,0,0
"172","",392.699081698724,14,0,0,0
"173","Beacon #3",1445.1326206513,29,17,0,65
"174","Beacon #3",1956.42682502304,28,12,1,25
"175","Near Beacon #3",801.106126665397,20,12,0,0
"176","",1130.97335529233,21,7,0,0
"177","",1174.95565244258,20,5,0,0
"178","Near Beacon #4",704.502152567511,14,7,0,0
"179","",387.986692718339,12,5,0,0
"180","",466.526509058084,10,0,0,0
"181","",1727.87595947439,21,7,0,0
"182","Beacon #4",1046.1503536454,23,27,1,25
"183","Beacon #4",1319.46891450771,28,12,0,3
"184","Beacon #5",1960.35381584003,35,11,1,5
"185","Beacon $5",612.61056745001,17,6,0,0
"186","Beacon #5",989.601685880785,20,14,0,0
"187","Beacon #6",1191.44901387393,24,14,1,0
"188","Beacon #6",1223.65033857322,27,16,0,0
"189","Beacon #12",1159.24768917463,23,31,0,0
"190","Beacon #12",1409.00430513502,33,14,2,0
"191","Beacon #11",1688.60605130451,28,17,0,0
"192","Beacon #11",1044.57955731861,26,16,0,0
"193","Beacon #10",1166.31627264521,23,20,4,0
"194","Beacon #10",1168.6724671354,24,22,0,0
"195","Beacon # 9",1215.79635693925,23,8,2,1
"196","Beacon # 9",1439.63483350752,33,15,0,0
"197","Beacon # 8",1621.06180925233,28,30,0,10
"198","Beacon # 8",1017.0906215997,26,17,0,0
"199","Beacon # 7",907.134878724053,23,12,0,0
"200","Beacon # 7",949.546379547515,24,11,0,0
"201","Near Beacon #1 and #7",86.3937979737193,6,0,0,0
"202","17-Jul-05",112.311937365835,7,0,0,0
"203","",160.221225333079,6,0,0,0
"204","",1511.10606637669,32,0,0,0
"205","",93.4623814442964,7,0,0,0
"206","",15.707963267949,6,0,0,0
"207","",32.9867228626928,4,0,0,0
"208","",15.707963267949,3,0,0,0
"209","",19.6349540849362,4,0,0,0
"210","",42.4115008234622,5,0,0,0
"211","",23.5619449019234,4,0,0,0
"212","",212.057504117311,8,0,0,0
"213","",42.4115008234622,4,0,0,0
"214","",37.6991118430775,4,0,0,0
"215","",188.495559215388,8,0,0,0
"216","",77.7544181763474,5,0,0,0
"217","",219.911485751286,10,0,0,0
"218","",376.991118430775,13,0,0,0
"219","",77.7544181763474,5,0,0,0
"220","",164.933614313464,9,0,0,0
"221","",226.194671058465,8,0,0,0
"222","",103.672557568463,8,0,0,0
"223","",84.8230016469244,7,0,0,0
"224","",212.057504117311,8,0,0,0
"225","",141.371669411541,8,0,0,0
"226","",54.9778714378214,6,0,0,0
"227","",224.62387473167,7,0,0,0
"228","",50.2654824574367,4,0,0,0
"229","",268.606171881927,9,0,0,0
"230","",109.955742875643,7,0,0,0
"231","",301.59289474462,9,0,0,0
"232","",268.606171881927,8,0,0,0
"233","",70.6858347057703,6,0,0,0
"234","",129.590696960579,7,0,0,0
"235","",142.942465738336,8,0,0,0
"236","",150.79644737231,12,1,0,0
"237","",120.951317163207,8,0,0,0
"238","",226.194671058465,10,0,0,0
"239","",141.371669411541,8,0,0,0
"240","",60.4756585816035,5,0,0,0
"241","",204.203522483337,9,0,0,0
"242","",125.663706143592,6,0,0,0
"243","",955.044166691297,12,12,0,0
"244","",328.296432300133,15,0,0,0
"245","",60.4756585816035,7,0,0,0
"246","",494.800842940392,18,0,0,0
"247","",146.869456555323,9,0,0,0
"248","",153.9380400259,6,0,0,0
"249","",640.884901332318,15,5,0,0
"250","",314.159265358979,13,3,0,0
"251","",1520.53084433746,26,13,0,0
"252","",626.747734391164,13,11,4,0
"253","",296.880505764235,11,0,0,0
"254","",397.411470679109,14,0,0,0
"255","",527.787565803085,11,5,0,0
"256","",589.048622548086,14,0,0,0
"257","",640.884901332318,15,20,0,0
"258","",373.064127613788,12,6,0,0
"259","",742.201264410589,16,10,0,0
"260","",2756.74755352504,24,11,0,0
"261","",763.40701482232,13,6,12,0
"262","",129.590696960579,10,1,0,0
"263","",438.252175175776,12,5,0,0
"264","",226.980069221863,10,0,0,0
"265","",289.026524130261,15,9,0,0
"266","",801.106126665397,23,23,2,0
"267","",103.672557568463,6,0,0,0
"268","",49.4800842940392,7,0,0,0
"269","",433.539786195391,13,1,0,0
"270","Near Beacons 6 and 12",294.524311274043,11,0,0,0
"271","18-Jul-05",962.112750161874,19,2,0,0
"272","",699.789763587126,20,2,4,0
"273","",32.9867228626928,5,0,0,0
"274","",527.787565803085,22,0,0,0
"275","",402.123859659494,13,1,0,0
"276","",804.247719318987,10,0,0,0
"277","",653.451271946677,18,0,0,0
"278","",596.117206018663,13,0,0,0
"279","",2261.94671058465,30,37,0,0
"280","",164.148216150067,7,0,0,0
"281","",895.353906273091,15,0,0,0
"282","",343.218997404685,13,0,0,0
"283","",728.849495632832,20,2,4,0
"284","",276.460153515902,12,6,0,0
"285","",77.7544181763474,8,0,0,0
"286","",102.101761241668,6,0,0,0
"287","",678.584013175395,15,8,0,0
"288","",1642.26755966406,25,8,0,0
"289","",958.971157508284,12,1,0,0
"290","",122.522113490002,6,0,0,0
"291","",730.420291959627,17,11,0,0
"292","",461.8141200777,11,0,0,0
"293","Opunahu2",1873.17461970291,30,6,0,0
"294","26-Jul-05",2709.6236637212,23,3,0,0
